mae,rmse,mape,r2,company,split,model
0.17642571354543,0.1864988257447176,0.0085252017567843,-9.064181714166317,Alphabet Inc.,0,XGBoost
0.3277299999285496,0.4598414245418245,0.0159033552736337,-28.466852804438965,Alphabet Inc.,0,XGBoost
0.2032396679162488,0.2391850731803464,0.0098803257135033,-3.326187177275247,Alphabet Inc.,0,XGBoost
0.3629557815552154,0.4011424092141268,0.0177380542116992,-4.674020891047795,Alphabet Inc.,0,XGBoost
0.4219810285367131,0.4368202097607259,0.020724889642921,-4.75011739559445,Alphabet Inc.,0,XGBoost
0.5262823985851746,0.5930767130651287,0.0259983345959211,-12.453946893365204,Alphabet Inc.,0,XGBoost
0.5932039960010911,0.6397294687915615,0.0293244139428311,-31.646282166586964,Alphabet Inc.,0,XGBoost
0.3544224550607175,0.3877568150098548,0.0175452923532433,-39.24500738399053,Alphabet Inc.,0,XGBoost
0.4850733413322295,0.492831861442031,0.0240119761338938,-79.53157946035203,Alphabet Inc.,0,XGBoost
0.1125879377444832,0.1344627863475928,0.0055697407128807,-9.180315829030937,Alphabet Inc.,0,XGBoost
0.3286666463807329,0.3458598205172042,0.0162665781581883,-64.58060057466894,Alphabet Inc.,0,XGBoost
0.1094471975835176,0.1347586946468491,0.0054241108905986,-1.472754055408818,Alphabet Inc.,0,XGBoost
0.5299415947393626,0.6354394316762241,0.0265364747229557,-13.608656705101398,Alphabet Inc.,0,XGBoost
0.2404925952412014,0.3038012851927557,0.0120849410870587,-2.552002035282091,Alphabet Inc.,0,XGBoost
0.1709969295861952,0.2029731499658134,0.0085564424894401,-0.3004450633536812,Alphabet Inc.,0,XGBoost
0.1784865616416894,0.2137949390803498,0.0089387335034566,-0.9140819085582385,Alphabet Inc.,0,XGBoost
0.1238590670060446,0.1577079425107837,0.0061756488046547,0.2022133971328956,Alphabet Inc.,0,XGBoost
0.247443081035346,0.2854979806607748,0.0123709124947371,-0.2496795192165517,Alphabet Inc.,0,XGBoost
0.4232459195600569,0.5456613296685275,0.0216721396059043,-1.4014896010422824,Alphabet Inc.,0,XGBoost
0.5821203283868819,0.6805711423305033,0.0299489678532902,-4.477496213020916,Alphabet Inc.,0,XGBoost
0.5640195717333512,0.6206027714842459,0.0290075274154984,-10.016813500398394,Alphabet Inc.,0,XGBoost
0.4112889165061574,0.4806009886549249,0.0211772702866643,-8.233183174611913,Alphabet Inc.,0,XGBoost
0.239183948039539,0.2861618634838475,0.0123051442568093,-1.7642658693136797,Alphabet Inc.,0,XGBoost
0.4449123959710462,0.4893557965423061,0.0226560949436535,-12.890318770855908,Alphabet Inc.,0,XGBoost
0.5278838363997757,0.5405234060833893,0.0268463339657135,-32.14037574001669,Alphabet Inc.,0,XGBoost
0.1271681455296452,0.1387756469785131,0.0064947142154566,-0.4906099221598023,Alphabet Inc.,0,XGBoost
0.5885988328787946,0.680139852239205,0.0303829045157793,-7.353622843902848,Alphabet Inc.,0,XGBoost
0.5102548290556861,0.5833966790149364,0.0263034206792554,-3.147393316017422,Alphabet Inc.,0,XGBoost
0.2280283548341785,0.3411003508489894,0.0118250962424722,-0.1341870988585245,Alphabet Inc.,0,XGBoost
0.3251392568047834,0.3804853975860204,0.0166672001924937,-0.0254514774196124,Alphabet Inc.,0,XGBoost
0.4647368617131008,0.4712400546266995,0.0233928441968254,-0.3148161536364007,Alphabet Inc.,0,XGBoost
1.0537048724976297,1.059290775943223,0.0524533516344931,-63.54768453741346,Alphabet Inc.,0,XGBoost
0.1308142403574251,0.1924161643868844,0.0065328297649004,-1.4447953194242205,Alphabet Inc.,0,XGBoost
0.1634233549823093,0.1819531421689109,0.008108616482619,-0.5372838941836997,Alphabet Inc.,0,XGBoost
