,company,horizon,down,flat,up
74,"Meta Platforms, Inc.",4,0.26595744680851063,0.5904255319148937,0.14361702127659576
75,Microsoft Corporation,4,0.02564102564102564,0.6564102564102564,0.31794871794871793
76,Microsoft Corporation,4,0.03257328990228013,0.6840390879478827,0.28338762214983715
77,Microsoft Corporation,4,0.04888888888888889,0.6266666666666667,0.3244444444444444
78,NVIDIA Corporation,4,0.05263157894736842,0.5105263157894737,0.4368421052631579
79,NVIDIA Corporation,4,0.05862068965517241,0.6,0.3413793103448276
80,NVIDIA Corporation,4,0.024193548387096774,0.4717741935483871,0.5040322580645161
81,"Tesla, Inc.",4,0.4831932773109244,0.37815126050420167,0.13865546218487396
82,"Tesla, Inc.",4,0.3607843137254902,0.4470588235294118,0.19215686274509805
83,"Tesla, Inc.",4,0.36893203883495146,0.4029126213592233,0.22815533980582525
84,Alphabet Inc.,5,0.004424778761061947,0.6106194690265486,0.38495575221238937
85,Alphabet Inc.,5,0.0,0.737410071942446,0.26258992805755393
86,Alphabet Inc.,5,0.0,0.6136363636363636,0.38636363636363635
87,"Amazon.com, Inc.",5,0.2930232558139535,0.4697674418604651,0.2372093023255814
88,"Amazon.com, Inc.",5,0.30194805194805197,0.3961038961038961,0.30194805194805197
89,"Amazon.com, Inc.",5,0.2647058823529412,0.3627450980392157,0.37254901960784315
90,Apple Inc.,5,0.19047619047619047,0.7095238095238096,0.1
91,Apple Inc.,5,0.21454545454545454,0.6290909090909091,0.15636363636363637
92,Apple Inc.,5,0.2231404958677686,0.6446280991735537,0.1322314049586777
93,"Meta Platforms, Inc.",5,0.2962962962962963,0.5740740740740741,0.12962962962962962
94,"Meta Platforms, Inc.",5,0.3391304347826087,0.5478260869565217,0.11304347826086956
95,"Meta Platforms, Inc.",5,0.2830188679245283,0.6132075471698113,0.10377358490566038
96,Microsoft Corporation,5,0.39285714285714285,0.24489795918367346,0.3622448979591837
97,Microsoft Corporation,5,0.391156462585034,0.25510204081632654,0.35374149659863946
98,Microsoft Corporation,5,0.3291139240506329,0.2742616033755274,0.39662447257383965
