horizon,company,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
3,Apple Inc.,tcn,isotonic,0.08,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,tcn,isotonic,0.1,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,tcn,isotonic,0.12,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,tcn,isotonic,0.14,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,tcn,isotonic,0.16,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,tcn,isotonic,0.18,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,tcn,isotonic,0.2,0.33707160272677517,0.593103448275862,0.2481962481962482,0.002758620689655172,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0027548209366391185,0.0027624309392265192
3,Apple Inc.,ensemble,isotonic,0.0,0.37262975380755986,0.48551724137931035,0.30191921210510647,0.2882758620689655,0.19617224880382775,0.1319268635724332,0.13993174061433447,0.17844585091420534,0.4659090909090909,0.3,0.48717948717948717,0.0419725202333898,0.2375,0.09366391184573003,0.48342541436464087
3,Apple Inc.,ensemble,isotonic,0.02,0.37262975380755986,0.48551724137931035,0.30191921210510647,0.2882758620689655,0.19617224880382775,0.1319268635724332,0.13993174061433447,0.17844585091420534,0.4659090909090909,0.3,0.48717948717948717,0.0419725202333898,0.2375,0.09366391184573003,0.48342541436464087
3,Apple Inc.,ensemble,isotonic,0.04,0.3731800601624159,0.4868965517241379,0.3026053228198328,0.2868965517241379,0.1971153846153846,0.13239171374764594,0.13993174061433447,0.17844585091420534,0.4659090909090909,0.3,0.48717948717948717,0.0419725202333898,0.2375,0.09366391184573003,0.48066298342541436
