horizon,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
1,tcn,isotonic,0.1,0.386252717269507,0.6737063682266824,0.2798615027756385,0.024127844342892942,0.3055555555555556,0.2803030303030303,0.015373563218390804,0.023707664884135473,0.5151515151515151,0.5416666666666666,0.5277777777777778,0.013736263736263738,0.030844155844155844,0.015526200214903928,0.032754538279400155
1,tcn,isotonic,0.12,0.38577033656485543,0.6735014081938889,0.2789629910632,0.023922884310099337,0.07407407407407407,0.04040404040404041,0.014778325123152709,0.022408963585434174,0.2727272727272727,0.3125,0.5277777777777778,0.01098901098901099,0.030844155844155844,0.015116867427347646,0.032754538279400155
1,tcn,isotonic,0.14,0.38570943152727794,0.6739357567528793,0.27879059852473637,0.023094447081158046,0.07301587301587302,0.03993055555555556,0.01416256157635468,0.021616541353383457,0.26744186046511625,0.3125,0.5142857142857142,0.01098901098901099,0.029556650246305417,0.01464225897931727,0.03157063930544594
1,tcn,isotonic,0.16,0.3859043124548375,0.6745671496468454,0.27906062656414,0.02226600985221675,0.11274509803921569,0.06133333333333333,0.01416256157635468,0.021759697256385997,0.27380952380952384,0.3125,0.5294117647058824,0.01098901098901099,0.029900332225913623,0.013774104683195593,0.030781373322809787
1,tcn,isotonic,0.18,0.3859043124548375,0.6745671496468454,0.27906062656414,0.02226600985221675,0.11274509803921569,0.06133333333333333,0.01416256157635468,0.021759697256385997,0.27380952380952384,0.3125,0.5294117647058824,0.01098901098901099,0.029900332225913623,0.013774104683195593,0.030781373322809787
1,tcn,isotonic,0.2,0.3863061371210084,0.6755523713217222,0.2795725773921288,0.021280788177339898,0.11855670103092783,0.0638888888888889,0.01416256157635468,0.021759697256385997,0.27380952380952384,0.3125,0.5294117647058824,0.01098901098901099,0.029900332225913623,0.01338055883510429,0.02920284135753749
1,tcn,platt,0.0,0.3812222238244352,0.6814637013709832,0.27021254784527715,0.0027586206896551726,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.005116096025186935,0.0003946329913180742
1,tcn,platt,0.02,0.38128071731667645,0.6816607457059586,0.27026025940839254,0.0025615763546798028,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.005116096025186935,0.0
1,tcn,platt,0.04,0.38133917905413356,0.6818577900409339,0.2703078915845477,0.0023645320197044337,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004722550177095631,0.0
1,tcn,platt,0.06,0.38133917905413356,0.6818577900409339,0.2703078915845477,0.0023645320197044337,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004722550177095631,0.0
1,tcn,platt,0.08,0.3813976091159956,0.6820548343759094,0.270355444571715,0.002167487684729064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004329004329004329,0.0
1,tcn,platt,0.1,0.3813976091159956,0.6820548343759094,0.270355444571715,0.002167487684729064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004329004329004329,0.0
1,tcn,platt,0.12,0.3813976091159956,0.6820548343759094,0.270355444571715,0.002167487684729064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004329004329004329,0.0
1,tcn,platt,0.14,0.3813455492839962,0.6820548343759094,0.2703238171592043,0.0019704433497536944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.003935458480913027,0.0
1,tcn,platt,0.16,0.3813455492839962,0.6820548343759094,0.2703238171592043,0.0019704433497536944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.003935458480913027,0.0
1,tcn,platt,0.18,0.3813455492839962,0.6820548343759094,0.2703238171592043,0.0019704433497536944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.003935458480913027,0.0
1,tcn,platt,0.2,0.3813455492839962,0.6820548343759094,0.2703238171592043,0.0019704433497536944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.003935458480913027,0.0
1,tcn,raw,0.0,0.3592239118337255,0.28323272547197936,0.21301239409331246,0.8036293200380439,0.17191884568979873,0.12287267754531964,0.43248296584629126,0.35906111026612714,0.5217960300995792,0.5111286140035641,0.5248864050924934,0.3308409852102509,0.37152177743463394,0.7341546022849259,0.8731684461539474
1,tcn,raw,0.02,0.35931908622992376,0.2863108076512776,0.21344950197389526,0.7970748118992729,0.17169539446546683,0.12169366302172335,0.42860860311105436,0.3553922987170989,0.5221080378020682,0.5087044382138299,0.5254332084068708,0.32734723374384894,0.3663396466548386,0.7266632837101793,0.8675550850279957
1,tcn,raw,0.04,0.3611932027333464,0.29175603947295575,0.21705069728348114,0.7883525401538581,0.17252861739035305,0.12250471682916161,0.42524190705779163,0.35428274194503434,0.5227546429867423,0.5063527587586915,0.5285475294435521,0.32517613134263623,0.366316840312663,0.7164149638893861,0.8603642790799987
1,tcn,raw,0.06,0.3615012838889057,0.2937683801992975,0.21790060120668478,0.7841684566325636,0.17213830220883522,0.12207695159170487,0.42227840492614976,0.35195604738055825,0.5218452355827611,0.5066328708035094,0.527471573509662,0.3246313026327091,0.36285328360553226,0.7116880530934749,0.8567273624091803
1,tcn,raw,0.08,0.3627525672344968,0.2977165255731955,0.22002236554106955,0.7782850539439539,0.17274602439723563,0.1222775635339891,0.4201757165795435,0.3504362968956977,0.5225851364284362,0.5037517455193,0.5298890571939919,0.3206409037476522,0.36359459843337616,0.7062433460497164,0.8504057979005317
1,tcn,raw,0.1,0.3636524088343295,0.3019797673069361,0.22193846141951332,0.7704255867187483,0.17317171865337402,0.12258554432490734,0.4165484514130981,0.34831836492656887,0.5237588996452333,0.5070646715112506,0.5298889152402725,0.32118889077641216,0.35886720587024473,0.697562668693065,0.8433707917398967
1,tcn,raw,0.12,0.3643613625380936,0.305018136930039,0.22345444665530415,0.7648616455197816,0.17362668158022618,0.12266403424676928,0.4144457630664919,0.34717406273223067,0.5258614273499496,0.5132239691559071,0.5287490976110931,0.32139566625333565,0.35649702702947766,0.6902312950087889,0.8395780752817161
1,tcn,raw,0.14,0.3646682406211886,0.3078231860284207,0.22390498871132708,0.7598848536264472,0.17358875540667196,0.12185039768207984,0.4114770872008627,0.34399673692054084,0.5248786450657679,0.5051900180597716,0.5306653127558005,0.3139939774072293,0.35688918389222274,0.684311979517,0.8355454324533989
